id,titles,authors,info,fullurl,cultural_group
25,Pink and Say (Hardcover),Patricia Polacco,"Patricia Barber Polacco (born July 11, 1944, Lansing, Michigan) is an American author and illustrator. Throughout her school years, Polacco struggled with reading but found relief by expressing herself through art. Polacco endured teasing and hid her disability until a school teacher recognized that she could not read and began to help her. Her book Thank You, Mr. Falker is Polacco's retelling of this encounter and its outcome. She also wrote such books as Mr. Lincoln's Way and The Lemonade Club.",https://en.wikipedia.org/wiki/Patricia_Polacco,East Asian
26,My Name Is Yoon (Hardcover),Helen Recorvits,"Helen Recorvits: No information available.
",No URL available,South Asian
27,"The Breadwinner (The Breadwinner, #1)",Deborah Ellis,"Deborah Ellis  (born August 7, 1960) is a Canadian author and activist.",https://en.wikipedia.org/wiki/Deborah_Ellis,Native American
28,The Rough-Face Girl (Paperback),Rafe Martin,Rafe Martin: No Information Available,No URL available,South Asian
29,Sold (Hardcover),Patricia McCormick,"Patricia McCormick (author) (born 1956), American journalist and writer of realistic fiction for young adults
",https://en.wikipedia.org/wiki/Patricia_McCormick_(author),East Asian
30,Kira-Kira (Paperback),Cynthia Kadohata,"Cynthia Kadohata (born July 2, 1956) is a Japanese American children's writer best known for her young adult novel Kira-Kira which won the Newbery Medal in 2005. She won the National Book Award in Young People's Literature in 2013 for The Thing About Luck.",https://en.wikipedia.org/wiki/Cynthia_Kadohata,East Asian
31,The Keeping Quilt (Paperback),Patricia Polacco,"Patricia Barber Polacco (born July 11, 1944, Lansing, Michigan) is an American author and illustrator. Throughout her school years, Polacco struggled with reading but found relief by expressing herself through art. Polacco endured teasing and hid her disability until a school teacher recognized that she could not read and began to help her. Her book Thank You, Mr. Falker is Polacco's retelling of this encounter and its outcome. She also wrote such books as Mr. Lincoln's Way and The Lemonade Club.",https://en.wikipedia.org/wiki/Patricia_Polacco,Eastern European
32,Crossing Bok Chitto (Hardcover),Tim Tingle,Tim Tingle is a member of the Choctaw Nation of Oklahoma and a speaker and storyteller.,https://en.wikipedia.org/wiki/Tim_Tingle,Black/African-American
33,Crossing Bok Chitto (Hardcover),Tim Tingle,Tim Tingle is a member of the Choctaw Nation of Oklahoma and a speaker and storyteller.,https://en.wikipedia.org/wiki/Tim_Tingle,Native American
34,Tar Beach (Paperback),Faith Ringgold,"Faith Ringgold (born October 8, 1930, in Harlem, New York City) is a painter, writer, mixed media sculptor and performance artist, best known for her narrative quilts.",https://en.wikipedia.org/wiki/Faith_Ringgold,Black/African-American
35,Sadako and the Thousand Paper Cranes (Paperback),Eleanor Coerr,"Eleanor Coerr  (May 29, 1922- November 22, 2010) was a Canadian-born American writer of children's books, including Sadako and the Thousand Paper Cranes (historical fiction) and many picture books.
She was born in Kamsack, Saskatchewan, Canada, and raised in Saskatoon. As a child, she liked to think up and read new stories. Through her best friend in high school, who was born to Japanese immigrants, Coerr developed an interest in calligraphy, Japanese food, and origami. She was exposed to Japanese scenery and told her friend that she wished to visit Japan one day, a request which Coerr fulfilled during the writing of Sadako and the Thousand Paper Cranes.She attended the University of Saskatchewan, later transferring to the Kadel Airbrush School. She earned a bachelor's degree in English from American University, and a master's degree in library science from the University of Maryland. After graduation, Coerr worked as a newspaper reporter and editor of a children's column. She taught children's literature at Monterey Peninsula College and creative writing at Chapman College in California.She was married to the by then former 1962-1965 U.S. Ambassador to Uruguay, Wymberly DeRenne Coerr (1913-1996) from 1965 until his death from Parkinson's Disease in 1996. He was a career diplomat, and she traveled with him to a number of countries, including foreign posts in Japan, Taiwan, Thailand, Philippines, and Brazil. Coerr both wrote and illustrated her first book in 1945, although she did not begin to publish her work until the 1970s. Her later work included children's books, philanthropy, and giving lectures at American universities and overseas. After Wymberly's death, she became more reclusive and stayed at private residences in Pebble Beach, California and Henderson, Nevada.She is perhaps best known for her book Sadako and the Thousand Paper Cranes, published in 1977. It told the story of Sadako Sasaki, who was diagnosed with leukemia due to complications from the atomic bomb dropped on Hiroshima when she was two years old. She is told that folding a thousand paper cranes will make her well, but only folded 664 before she died at the age of twelve.
Coerr died on November 22, 2010 at the age of 88. Both she and Wymberly were cremated.",https://en.wikipedia.org/wiki/Eleanor_Coerr,East Asian
36,Martin's Big Words: The Life of Dr. Martin Luther King Jr. (Hardcover),Doreen Rappaport,"Doreen Rappaport: No information available.
",No URL available,Black/African-American
37,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,"Mildred DeLois Taylor (born September 13, 1943) is a Newbery Award-winning African-American young adult novelist. She is known for exploring powerful themes of family, and intense themes of racism faced by African Americans in the Deep South, in works that are accessible to young readers. She was awarded the 1977 Newbery Medal for her novel Roll of Thunder, Hear My Cry and the inaugural NSK Neustadt Prize for Children's Literature in 2003.",https://en.wikipedia.org/wiki/Mildred_D._Taylor,Black/African-American
38,The Book Thief (Hardcover),Markus Zusak,"Markus Frank Zusak (born 23 June 1975) is an Australian writer. He is best known for The Book Thief and The Messenger (US title: I Am the Messenger), two novels for young adults which became international bestsellers. He won the Margaret A. Edwards Award in 2014 for his contributions to young-adult literature published in the United States.",https://en.wikipedia.org/wiki/Markus_Zusak,Western European
39,It's Okay to Be Different (Hardcover),Todd Parr,"Todd Parr (born July 9, 1962) is an American author, illustrator and television producer. Parr grew up in Rock Springs, Wyoming and later moved to San Francisco in 1995, where he pursued a career as an artist. He has also worked as a flight attendant before becoming a full-time author.In November 2004, the television show he created, ToddWorld, premiered on TLC and Discovery Kids.",https://en.wikipedia.org/wiki/Todd_Parr,Other
40,The Colors of Us (Paperback),Karen Katz,"Karen Katz (born September 16, 1947) is an American author and illustrator of children's books.
Her first book, Over the Moon, was inspired by the experience of adopting her daughter Lena from Central America.",https://en.wikipedia.org/wiki/Karen_Katz,Other
41,"Freedom Over Me: Eleven Slaves, Their Lives and Dreams Brought to Life by Ashley Bryan (Hardcover)",Ashley Bryan,"Ashley F. Bryan (born July 13, 1923) is an American writer and illustrator of children's books. Most of his subjects are from the African American experience. He was U.S. nominee for the Hans Christian Andersen Award in 2006 and he won the Laura Ingalls Wilder Award for his contribution to American children's literature in 2009. Ashley Bryan's Freedom Over Me was short-listed for the 2016 Kirkus Prize and received a Newbery Honor.",https://en.wikipedia.org/wiki/Ashley_Bryan,Black/African-American
42,The Hate U Give (Hardcover),Angie Thomas,"Angie Thomas (born 1988) is an American author, best known for writing the young adult novel The Hate U Give. Her second young adult novel, On the Come Up, was released in February 2019.",https://en.wikipedia.org/wiki/Angie_Thomas,Black/African-American
43,All American Boys (Hardcover),Jason Reynolds,"Jason Reynolds (born December 6, 1983) is an American author. He writes novels and poetry for young adult and middle-grade audiences, including Ghost, a National Book Award Finalist for Young People's Literature.
Born in Washington, D.C., and raised in neighboring Oxon Hill, Maryland. Reynolds found inspiration in rap to begin writing poetry at nine years old. He focused on poetry for approximately the next two decades, only reading a novel cover to cover for the first time at age 17 and publishing several poetry collections before he published his own first novel, When I Was The Greatest, in 2014. He won the Coretta Scott King/John Steptoe Award for New Talent for this first work of prose and seven more novels followed in the next four years, including Ghost (2016) and two more books in what became his New York Times best-selling Track series, Patina (2017) and Sunny (2018); As Brave As You (2016), winner of the 2016 Kirkus Prize, the 2017 NAACP Image Award for Outstanding Literary Work for Youth/Teen, and the 2017 Schneider Family Book Award; and a Marvel Comics novel called Miles Morales: Spider-Man (2017).
Reynolds returned to poetry with Long Way Down (2017), a novel in verse which was named a Newbery Honor book, a Printz Honor Book, and best young adult work by the Mystery Writers of America's Edgar Awards.",https://en.wikipedia.org/wiki/Jason_Reynolds,Black/African-American
44,Separate Is Never Equal: Sylvia Méndez and Her Family's Fight for Desegregation (Hardcover),Duncan Tonatiuh,"Duncan Tonatiuh (born in Mexico City, Mexico) is a Mexican-American author and illustrator of several award-winning children's books. The illustrations in his books are influenced by Pre-Columbian art.  The themes in his stories relate to the Latino experience, with subjects that include social justice issues, art, history, and immigration.  He is an advocate and activist for workers' rights.",https://en.wikipedia.org/wiki/Duncan_Tonatiuh,Black/African-American
45,The Girl Who Loved Wild Horses (Hardcover),Paul Goble,"Paul Goble (27 September 1933 to 5 January 2017) was an English writer and illustrator of children's books, especially Native American stories. His book The Girl Who Loved Wild Horses won a Caldecott Medal in 1979.",https://en.wikipedia.org/wiki/Paul_Goble,Native American
46,The Snowy Day (Paperback),Ezra Jack Keats,"Ezra Jack Keats (March 11, 1916 - May 6, 1983) was an American writer and illustrator of children's books. He won the 1963 Caldecott Medal for illustrating The Snowy Day, which he also wrote. Keats wrote A Letter to Amy and Hi, Cat! but he was most famous for The Snowy Day. It is considered one of the most important American books of the 20th century.Keats is best known for introducing multiculturalism into mainstream American children's literature. He was one of the first children's book authors to use an urban setting for his stories and he developed the use of collage as a medium for illustration.",https://en.wikipedia.org/wiki/Ezra_Jack_Keats,Black/African-American
47,Deep in the Sahara (Hardcover),Kelly Cunnane,"Kelly Cunnane: No information available.
",No URL available,South Asian
48,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire S�enz,"Benjamin Alire S�enz (born August 16, 1954) is an American poet, novelist and writer of children's books.",https://en.wikipedia.org/wiki/Benjamin_Alire_S%C3%A1enz,Hispanic
49,The Sandwich Swap (Hardcover),Rania Al-Abdullah,"Rania Al-Abdullah (Arabic: born Rania Al-Yassin on 31 August 1970) is the queen consort of Jordan. Born in Kuwait to a Palestinian family, she later moved to Jordan for work, where she met the then prince Abdullah. Since marrying the now King of Jordan in 1993, she has become known for her advocacy work related to education, health, community empowerment, youth, cross-cultural dialogue and micro-finance. She is also an avid user of social media and she maintains pages on Facebook, YouTube, Instagram and Twitter. She has two daughters and two sons and has been awarded various decorations by governments.",https://en.wikipedia.org/wiki/Queen_Rania_of_Jordan,Cross-Cultural
50,Suki's Kimono (Paperback),Chieri Uegaki,"Chieri Uegaki: No information available.
",No URL available,East Asian
51,Little Bee (Paperback),Chris Cleave,Chris Cleave (born 1973) is a British writer and journalist.,https://en.wikipedia.org/wiki/Chris_Cleave,Black/African-American
